playerId,teamId,xT_difference,defensive_actions,DCI,total_time,DCI_per_90,name,team,defensive_actions_divided,new_DCI,new_DCI_per_90
286381,3770,0.062311507616868766,31,31.06231150761687,46.85647863333334,59.663212371591754,E. Kwateng,Nantes,0.31,0.37231150761686876,0.715120654877399
229427,3783,1.2830984612788257,546,547.2830984612788,1317.170136,37.394925313972564,A. Djiku,Caen,5.46,6.743098461278826,0.46074447402677393
70959,3776,3.402820253926052,670,673.402820253926,1650.477126666667,36.720444557298904,Edgar I\u00e9,Lille,6.7,10.102820253926051,0.5509036194216698
26399,3783,3.8667129477665014,589,592.8667129477665,1490.7651687,35.79236038351302,D. Da Silva,Caen,5.89,9.756712947766502,0.5890291668571269
215281,3783,1.1364204481104707,350,351.13642044811047,894.8573411833333,35.31543675837761,A. Mbengue,Caen,3.5,4.636420448110471,0.4663065509169833
25957,3789,5.059901161157072,607,612.0599011611571,1604.6521866333335,34.32855516189893,K. Ad\u00e9non,Amiens SC,6.07,11.129901161157072,0.6242418842214964
214710,3789,3.5455063673207405,550,553.5455063673207,1493.2800798333333,33.362191223108816,B. Dibassy,Amiens SC,5.5,9.04550636732074,0.5451727268401844
28908,3783,2.1630599582369427,621,623.163059958237,1694.7512182,33.0931612816948,F. Guilbert,Caen,6.21,8.373059958236944,0.4446525178142072
217867,3770,0.11602488150526824,17,17.11602488150527,47.43373693333333,32.475666876099574,A. Walongwa,Nantes,0.17,0.2860248815052683,0.5426989522595295
76201,3804,0.250262382414121,49,49.25026238241412,137.16926495,32.31426235339953,\u00c1. Lang,Dijon,0.49,0.740262382414121,0.48570366285447447
25524,3804,4.366683723815328,498,502.3666837238153,1404.7133028,32.186640110135485,P. Djilobodji,Dijon,4.98,9.346683723815328,0.5988421505417664
25534,3789,1.866865757646508,316,317.8668657576465,890.0168875833334,32.143230445736435,I. Cissokho,Amiens SC,3.16,5.026865757646508,0.5083250941638175
3573,3772,1.6832608733553371,348,349.6832608733553,987.9575892333334,31.855105747023238,J. Toulalan,Bordeaux,3.48,5.163260873355338,0.4703577194670755
270866,3770,3.928804278021218,453,456.92880427802123,1293.0560319666665,31.803410964701357,Diego Carlos,Nantes,4.53,8.45880427802122,0.5887543665559691
290119,3777,3.350922657126091,567,570.3509226571261,1651.74753225,31.07713620689828,M. Niakhat\u00e9,Metz,5.67,9.020922657126091,0.4915297424633693
393284,3795,1.4516014832648807,547,548.4516014832649,1617.4913545166667,30.516790087105985,C. Traor\u00e9,Troyes,5.47,6.9216014832648805,0.38512980718835765
393214,3804,1.4362193094065212,571,572.4362193094065,1691.4658475333333,30.458350556103266,V. Rosier,Dijon,5.71,7.146219309406521,0.3802380868549652
25643,3782,2.859970050397692,394,396.8599700503977,1175.4671942333332,30.385703216355182,K. Th\u00e9ophile Catherine,Saint-\u00c9tienne,3.94,6.799970050397691,0.5206417563485903
25993,3787,1.7351465776674218,431,432.7351465776674,1284.8647446666666,30.31148870233333,Hilton,Montpellier,4.3100000000000005,6.045146577667422,0.4234400502063855
26138,3777,1.9065924731951895,401,402.9065924731952,1201.9267943500001,30.16955233300858,J. Rivierez,Metz,4.01,5.916592473195189,0.4430330741362152
144884,3780,3.414601952313717,459,462.4146019523137,1383.9665639166667,30.071040197625866,C. Jullien,Toulouse,4.59,8.004601952313717,0.5205430495874415
49919,3780,1.06322927155378,319,320.0632292715538,963.1545129499999,29.907652663342944,F. Moubandje,Toulouse,3.19,4.25322927155378,0.39743429459454954
26134,3789,4.2634628671721515,480,484.26346286717217,1478.2960334000002,29.482397756155336,P. Gouano,Amiens SC,4.8,9.063462867172152,0.551791819510874
26528,3783,1.6720988586075691,351,352.67209885860757,1079.2890713166667,29.408700357313194,R. Genevois,Caen,3.5100000000000002,5.182098858607569,0.43212602598274735
300784,19830,1.0100541037147934,331,332.01005410371477,1018.3108049666666,29.34359993392435,Jorge,Monaco,3.31,4.320054103714794,0.38181355578079973
29588,3779,1.276819800089413,396,397.2768198000894,1219.3639022166667,29.322594934137076,E. Seka,Strasbourg,3.96,5.236819800089413,0.3865243026722799
25943,3785,3.9319374987522693,557,560.9319374987523,1721.94506785,29.317935465805114,C. Kerbrat,Guingamp,5.57,9.50193749875227,0.4966327851302857
25523,3770,1.4044141487105435,439,440.40441414871054,1354.8625175166667,29.254922002000374,K. Djidji,Nantes,4.39,5.794414148710543,0.38490789038861556
14801,3782,1.7919950116490782,241,242.79199501164908,750.99730725,29.09634873534151,N. Suboti\u0107,Saint-\u00c9tienne,2.41,4.201995011649078,0.5035697830039284
29616,3779,2.0675484730009543,361,363.06754847300095,1125.1686220166666,29.04105102398249,P. Martinez,Strasbourg,3.61,5.677548473000954,0.45413580913254165
3308,3787,2.7344089933462215,515,517.7344089933463,1604.8657995666667,29.03426368857924,Pedro Mendes,Montpellier,5.15,7.884408993346222,0.4421533623513939
26021,3777,0.0971475297460529,15,15.097147529746053,47.656203166666664,28.511362370293142,S. Falette,Metz,0.15,0.2471475297460529,0.466744646008705
26276,3770,3.526627796628567,407,410.5266277966286,1297.4371308666666,28.477215290590863,N. Pallois,Nantes,4.07,7.596627796628567,0.5269592533087697
25641,3779,2.258463683746186,283,285.2584636837462,902.2596123166666,28.454406449179064,K. Mangane,Strasbourg,2.83,5.088463683746186,0.5075720172836747
364772,3770,1.3003966240030422,321,322.30039662400304,1035.0395738666668,28.02504989040829,C. Awaziem,Nantes,3.21,4.510396624003042,0.3921934063291827
26265,3799,1.2053912945362981,480,481.2053912945363,1550.1436515166668,27.93836892092876,V. Manceau,Angers,4.8,6.005391294536298,0.34866782570728455
366563,3777,1.461815517602247,185,186.46181551760225,606.63017465,27.66358169747566,V. Selimovic,Metz,1.85,3.311815517602247,0.49134284616846213
26433,3795,1.1754752823234185,156,157.17547528232342,512.18108795,27.618733116498912,J. Cordoval,Troyes,1.56,2.7354752823234185,0.48067525568835806
270306,3780,0.36240843472779716,29,29.362408434727797,95.68707731666667,27.61727950348018,Steven Fort\u00e8s,Toulouse,0.29,0.6524084347277972,0.613633112977049
372547,3774,0.2411904263449287,43,43.24119042634493,141.07409383333334,27.586263591164755,G. Nyamsi,Rennes,0.43,0.6711904263449286,0.42819440997019137
25990,3795,1.71843928930015,404,405.71843928930014,1325.5773472666667,27.546230788667323,M. Deplagne,Troyes,4.04,5.75843928930015,0.3909689141155451
25700,3782,2.0489725696016876,209,211.0489725696017,695.4467625333333,27.312525637580684,M. Debuchy,Saint-\u00c9tienne,2.09,4.1389725696016875,0.5356377386921796
30320,3789,1.3747775623776874,371,372.3747775623777,1229.8657791833332,27.24990852487016,O. El Hajjam,Amiens SC,3.71,5.084777562377687,0.37209749906032147
