playerId,teamId,xT_difference,defensive_actions,DCI,total_time,DCI_per_90,name,team,defensive_actions_divided,new_DCI,new_DCI_per_90
38082,2455,0.5659446059570428,116,116.56594460595704,236.20953961666666,44.41368046168406,Felipe,Hannover 96,1.16,1.7259446059570427,0.6576153308127171
425923,2451,0.16212790522945397,113,113.16212790522945,234.34039894999998,43.46067326463707,G. Itter,Wolfsburg,1.1300000000000001,1.292127905229454,0.49625037762039226
272435,2455,0.49726219987746845,109,109.49726219987747,231.94253406666667,42.48791036816233,T. H\u00fcbers,Hannover 96,1.09,1.5872621998774685,0.6159008245892152
16443,2460,1.8917073611108943,302,303.8917073611109,647.8557074500001,42.21658209997449,L. Balogun,Mainz 05,3.02,4.911707361110894,0.6823335156526302
221172,2460,2.9023242351220944,280,282.9023242351221,704.7512162666666,36.127939325934946,A. Hack,Mainz 05,2.8000000000000003,5.702324235122095,0.7282132606732507
15122,2463,1.7027976513594183,202,203.70279765135942,509.68561908333334,35.969725458596606,D. Maroh,K\u00f6ln,2.02,3.7227976513594183,0.6573695157908053
16843,2463,4.400321020269644,575,579.4003210202696,1464.9695091333333,35.59529981117049,D. Heintz,K\u00f6ln,5.75,10.150321020269644,0.6235821879765305
26115,2455,4.1515356001376915,585,589.1515356001377,1521.2018465833332,34.85641193711744,S. San\u00e9,Hannover 96,5.8500000000000005,10.001535600137693,0.5917283140525571
15719,2482,3.892409381673019,484,487.892409381673,1261.4829562833334,34.80848998049259,B. H\u00fcbner,Hoffenheim,4.84,8.732409381673019,0.6230102756727631
272434,2455,2.2619574772127606,474,476.2619574772128,1236.3359345333333,34.66984577224022,W. Anton,Hannover 96,4.74,7.001957477212761,0.5097127369245434
159,2481,1.8036063873276902,480,481.8036063873277,1268.8874438666667,34.17349961531809,J. Gouweleeuw,Augsburg,4.8,6.60360638732769,0.46838242251685724
235606,2449,1.7557719965149943,493,494.755771996515,1308.14967675,34.03893321314185,T. Kehrer,Schalke 04,4.93,6.685771996514994,0.4599775472033724
99437,2463,0.3588748014227576,88,88.35887480142276,235.53611895,33.762544647414245,P. Olkowski,K\u00f6ln,0.88,1.2388748014227575,0.4733827347801265
282799,2482,0.6351174249971336,154,154.63511742499713,415.63103320000005,33.484411549107925,S. Posch,Hoffenheim,1.54,2.1751174249971337,0.47099603401255846
173212,2457,4.539840304943937,433,437.53984030494394,1188.7412644666665,33.126288120495516,N. Stark,Hertha BSC,4.33,8.869840304943937,0.6715385856510233
14857,2450,4.096192888948764,501,505.09619288894874,1377.8305146833334,32.99292393045392,K. Papadopoulos,Hamburger SV,5.01,9.106192888948764,0.594817251665926
15178,2460,4.1950747425382815,427,431.1950747425383,1176.8171889,32.97670793124871,S. Bell,Mainz 05,4.2700000000000005,8.465074742538281,0.647387490609796
20680,2463,3.854278847220094,469,472.8542788472201,1290.6926901833333,32.97212839270432,F. S\u00f8rensen,K\u00f6ln,4.69,8.544278847220095,0.5957925555002407
19720,2453,2.8713050959332236,284,286.8713050959332,798.4812127,32.33440818392093,M. Gulde,Freiburg,2.84,5.711305095933223,0.6437439609829784
343685,2451,1.1382247409066721,362,363.13822474090665,1011.6177855999999,32.307103228021376,William,Wolfsburg,3.62,4.758224740906672,0.4233221605802504
352988,2975,2.809787387341501,464,466.8097873873415,1310.114439766667,32.0680999992209,D. Upamecano,RB Leipzig,4.64,7.449787387341501,0.5117727463412651
235597,2445,2.4272421225731478,476,478.42724212257315,1351.9559135833333,31.849005842879876,T. Baumgartl,Stuttgart,4.76,7.1872421225731475,0.47845627548395053
275121,2457,1.1833808163981985,180,181.1833808163982,514.9367983999999,31.667001317721013,J. Torunarigha,Hertha BSC,1.8,2.9833808163981983,0.5214315121974741
14801,2447,0.20103783666343134,50,50.20103783666343,142.71777328333334,31.65753852065834,N. Suboti\u0107,Borussia Dortmund,0.5,0.7010378366634313,0.4420851296106713
11095,2443,2.898473103877791,487,489.8984731038778,1402.9354573166668,31.42757733394212,M. Veljkovic,Werder Bremen,4.87,7.768473103877791,0.4983569099367257
235450,2460,2.2249951472988414,437,439.22499514729884,1265.0043898666665,31.249100698712553,A. Diallo,Mainz 05,4.37,6.5949951472988415,0.4692075126470168
14887,2451,1.2958596016215438,177,178.29585960162154,517.0194362,31.03679715038523,J. Bruma,Wolfsburg,1.77,3.065859601621544,0.5336885711182456
135788,2455,1.3951885597821274,154,155.39518855978213,459.37182598333334,30.444981993492583,J. Elez,Hannover 96,1.54,2.9351885597821274,0.5750613238304603
344864,2453,2.174718971154789,397,399.1747189711548,1181.2489478,30.413339012333747,C. S\u00f6y\u00fcnc\u00fc,Freiburg,3.97,6.14471897115479,0.4681694814915212
15449,2450,1.958704508557119,267,268.9587045085571,797.7811178833333,30.34201093903308,M. Mavraj,Hamburger SV,2.67,4.628704508557119,0.5221775703032638
18974,2451,0.8427894822924316,131,131.84278948229243,393.76617273333335,30.134257016135614,J. Brooks,Wolfsburg,1.31,2.1527894822924316,0.4920459572781309
26021,2462,2.8397561340600106,418,420.83975613406,1265.6248291,29.92638669944485,S. Falette,Eintracht Frankfurt,4.18,7.01975613406001,0.4991827258277363
340646,2445,4.229194639887815,519,523.2291946398879,1600.1586512666665,29.428724133268616,B. Pavard,Stuttgart,5.19,9.419194639887817,0.5297771673570321
65075,2481,2.6569880247020095,445,447.656988024702,1404.2665464,28.690513938047612,M. Hinteregger,Augsburg,4.45,7.10698802470201,0.45548968168681636
15806,2454,4.6029880704862265,473,477.6029880704862,1511.0247044999999,28.44709871276877,J. Vestergaard,Borussia M'gladbach,4.73,9.332988070486227,0.5558935759569248
14687,2447,2.797566403017747,436,438.79756640301775,1391.5729679833335,28.37923837619745,S. Papastathopoulos,Borussia Dortmund,4.36,7.157566403017747,0.46291570121913467
3335,2447,1.1436852531111725,169,170.1436852531112,544.0231749833333,28.14757234055173,Bartra,Borussia Dortmund,1.69,2.8336852531111725,0.4687882511398869
20932,2449,2.9566811217826228,344,346.9566811217826,1121.2538545833334,27.849269969791358,M. Nastasi\u0107,Schalke 04,3.44,6.396681121782622,0.5134442112347262
14803,2446,1.723223378865967,400,401.72322337886595,1301.6610262666666,27.77611787901144,S. Bender,Bayer Leverkusen,4.0,5.723223378865967,0.39571754374123236
15069,2975,2.6005933123037153,364,366.6005933123037,1190.1049743666665,27.723649685327675,W. Orban,RB Leipzig,3.64,6.240593312303716,0.47193601422112136
143566,2450,1.5335186294051368,388,389.53351862940514,1265.2618769,27.708111116523646,Douglas Santos,Hamburger SV,3.88,5.413518629405137,0.3850718065102735
3566,2451,0.802831179175783,160,160.80283117917577,524.6467431333333,27.584760594707156,Camacho,Wolfsburg,1.6,2.402831179175783,0.4121912676600027
14842,2482,3.4524903888511744,439,442.4524903888512,1459.3747850166667,27.286153319787445,K. Vogt,Hoffenheim,4.39,7.842490388851174,0.4836483007951552
